book_id,Title,Authors,Description,Category
1433,Basic Book of Antiques & Collectibles,"By Michael, George","Guides the novice in the identification, judging, collecting, appreciation, and care of all types of antiques and collectibles for enjoyment and investment"," Antiques & Collectibles , General"
1434,The Lovely Bones,"By Sebold, Alice","Once in a generation a novel comes along that taps a vein of universal human experience, resonating with readers of all ages. THE LOVELY BONES is such a book -- a #1 bestseller celebrated at once for its artistry, for its luminous clarity of emotion, and for its astonishing power to lay claim to the hearts of millions of readers around the world.""My name was Salmon, like the fish; first name, Susie. I was fourteen when I was murdered on December 6, 1973.""So begins the story of Susie Salmon, who is adjusting to her new home in heaven, a place that is not at all what she expected, even as she is watching life on earth continue without her -- her friends trading rumors about her disappearance, her killer trying to cover his tracks, her grief-stricken family unraveling. Out of unspeakable tragedy and loss, THE LOVELY BONES succeeds, miraculously, in building a tale filled with hope, humor, suspense, even joy."," Fiction , Literary"
1435,Family Fun Vacation Guide: Mid-Atlantic (Family Fun Vacation Guides),"By Powers, Alice Lecesse, Weldon-Siviy, Denise, Mintzer, Rich, and Gallaro, Elisa","Meet the new pandas at the National Zoo in Washington, D.C. Chill out at a Delaware beach. See the dinosaurs at the Museum of National History in New York City Build a rocket at the NASA/Goddard Space Flight Center in Greenbelt, Maryland. Visit George Washington's home at Mount Vernon, VA."," Travel , Special Interest , Family"
1436,"Um, Like... OM: A Girl Goddess's Guide to Yoga","By Peterson, Stacy (ILT) and Cooper, Evan","The perfect primer for yoga enthusiasts, Um, Like... OM goes above and beyond teaching the technique of yoga: it reveals how yoga can help teenage girls face any challenge that comes their way, from dealing with difficult parents to break-ups to the pressure to conform. Written in a hip and empathetic voice by a yoga practitioner who knows all about the ups and downs of the teenage years, this book also provides tips and tricks on how girls can tell their inner critic to take a hike and embrace the girl goddess within. Packed with illustrated yoga poses, real-life teen stories, inspiring quotations, sidebars with FYIs (``Fun Yoga Information''), book and music recommendations, and a glossary, Um, Like... OM is the ultimate guide to yoga-and life-for teens."," Young Adult Nonfiction , Sports & Recreation , General"
1437,Why Forgive?,"By Arnold, Johann Christoph","A guide to the difficult process of forgiveness honestly discusses the importance of this virtue and reveals the role ""holding on"" to bitterness and rage plays in bigotry, crime, and war. $50,000 ad/promo."," Self-help , Motivational & Inspirational"
1438,Lucky Man: A Memoir,"By Fox, Michael J.","A funny, highly personal, gorgeously written account of what it's like to be a 30-year-old man who is told he has an 80-year-old's disease. ""Life is great. Sometimes, though, you just have to put up with a little more crap."" --Michael J. Fox In September 1998, Michael J. Fox stunned the world by announcing he had been diagnosed with Parkinson's disease--a degenerative neurological condition. In fact, he had been secretly fighting it for seven years. The worldwide response was staggering. Fortunately, he had accepted the diagnosis and by the time the public started grieving for him, he had stopped grieving for himself. Now, with the same passion, humor, and energy that Fox has invested in his dozens of performances over the last 18 years, he tells the story of his life, his career, and his campaign to find a cure for Parkinson's. Combining his trademark ironic sensibility and keen sense of the absurd, he recounts his life--from his childhood in a small town in western Canada to his meteoric rise in film and television which made him a worldwide celebrity. Most importantly however, he writes of the last 10 years, during which--with the unswerving support of his wife, family, and friends--he has dealt with his illness. He talks about what Parkinson's has given him: the chance to appreciate a wonderful life and career, and the opportunity to help search for a cure and spread public awareness of the disease. He is a very lucky man, indeed. The Michael J. Fox FoundationMichael J. Fox is donating the profits from his book to the Michael J. Fox Foundation for Parkinson's Research, which is dedicated to fast-forwarding the cure for Parkinson's disease. The Foundation will move aggressively to identify the most promising research and raise the funds to assure that a cure is found for the millions of people living with this disorder. The Foundation's web site, MichaelJFox.org, carries the latest pertinent information about Parkinson's disease, including:  A detailed description of Parkinson's disease How you can help find the cure Public Services Announcements that are aired on network and cable television stations across the country to increase awareness Upcoming related Parkinson's disease events and meetings Updates on recent research and developments"," Biography & Autobiography , Entertainment & Performing Arts"
1439,The Father Connection: How You Can Make the Difference in Your Child's Self-Esteem and Sense of Purpose,"By McDowell, Josh","“As a young father I was running scared . . . I feared the culture would capture my kids . . . but I figured if I could find the ultimate model of fatherhood and then emulate that model, I had a fighting chance.”  Updated and redesigned for a new generation of dads, Josh McDowell’s ECPA Gold Medallion Award winner The Father Connection looks at ten parenting qualities inspired by the ultimate model of fatherhood. Embracing these godly characteristics will make all the difference in a child, boosting self-esteem and sense of purpose, helping him or her to:  • Feel loved and secure • Develop a reputation of integrity • Know their dad keeps his promises • Stand up to unhealthy peer pressure • Avoid drug and alcohol abuse • Save sex until marriage • Desire their father’s counsel • Admit when they’re wrong • Come to their dad in times of trouble or hurt • Admire and respect their father as their parent"," Religion , Christian Living , Men's Interests"
1440,The Perennial Garden: Color Harmonies Through the Seasons,"By Cox, Jeff and Cox, Marilyn","A hands-on guide to growing perennials with an easy-to-use chart of details on culture, bloom color, and use for over 300 plants. Includes keys for successful perennial gardening, creating a garden that blooms in all seasons, turning any property into a living work of art, and more."," Gardening , Flowers , Perennials"
1441,"Making Pet Houses, Carriers & Other Projects","By Self, Charles R.","Provides instructions for building doghouses, cat playhouses, rabbit hutches, pet carriers and sleeping boxes, and other equipment for pets"," Technology & Engineering , General"
1442,Corduroy,"By Freeman, Don","A picture book classic! One of School Library Journal’s ""Top 100 Picture Books"" of all time (2012) One of the National Education Association’s ""Teachers' Top 100 Books for Children.""Don Freeman's classic character, Corduroy, is even more popular today then he was when he first came on the scene in 1968. This story of a small teddy bear waiting on a department store shelf for a child’s friendship has appealed to young readers generation after generation."," Juvenile Fiction , Social Themes , Emotions & Feelings"
1443,Soul Matters For Men,By Mark Gilroy Communications,"Soul Matters for Men tackles 40 of the crucial life issues you face as a man, weaving together poignant personal reflection questions, inspirational quotes, real life stories, God's promises, brief-but hard-hitting- Bible studies, practical life application ideas, and prayer starters to help you to discover for yourself how to let your soul take flight and soar!Topics include: Integrity in the Workplace; Anger Management; Raising Children; Wisdom; Mentorship; Spiritual Warfare; Working with Difficult People; Growing Stronger through Adversity; Facing an Uncertain Future; and more!"," Religion , Christian Life , General"
1444,Beyond Blame,"By Williams, Armstrong","The statistics are familiar - young black men are being murdered in the streets by the thousands and being jailed by the tens of thousands; millions more will father children and then abandon them. While pundits and political leaders publicly wring their hands about these alarming trends, most retire at the end of the day to their comfortable suburban homes, secure in the belief that it will never happen to their children.Armstrong Williams, a nationally-syndicated radio and television host, sets a higher standard for himself. Through his shows, and in his personal life as well, Armstrong lives his own rhetoric of individual empowerment, hard work, faith, and social responsibility. This book, Beyond Blame, is the direct result of a hard-headed dialogue with a young man he calls ""Brad Howard,"" a twenty-seven-year-old drug dealer, murderer, and father of three small daughters who, in his desperation to leave the streets behind, sought Armstrong's help.Armstrong, raised on a farm and more accustomed to Washington's corridors of power than to the urban ghetto culture, must first bridge the gap between his own world and Brad's - where women are mere playthings for the amusement of pimps and hustlers, where drug money pays for Caribbean vacations or the assassination of rivals, and where individual responsibility takes a back seat to hedonism.It's not enough, Armstrong exhorts Brad, simply to ""give up"" hustling. Instead, Brad must exorcise the world-view that allowed him to fall into degradation in the first place. The ethic of entitlement and false pride, hammered into young men and women by our educational institutions, popular culture, and political leaders, is only partially to blame for Brad's plight. For in the end, it was Brad's own decisions that led to his degenerate life - quite literally, Brad's finger was on the trigger.In order to do right, Armstrong maintains, you must learn to think right. Drawing on his own unapologetic Christianity, he provides lessons in faith - a faith that will give Brad the strength to take responsibility for his actions, for the future of his children, and for his community.Beyond Blame's greatest lesson is that America's urban crime problem cannot be solved by social scientists, politicians, or platitudes. Armstrong provides a powerful reminder that each of us has the duty to get his hands dirty, to actively and aggressively take up the cause of the Brad Howards of the world - not as a social experiment, but because we are, indeed, our brother's keeper."," Social Science , General"
1445,"Terrorism and Tyranny: Trampling Freedom, Justice and Peace to Rid the World of Evil","By Bovard, James","""The war on terrorism is the first political growth industry of the new Millennium.""  So begins Jim Bovard's newest and, in some ways, most provocative book as he casts yet another jaundiced eye on Washington and the motives behind protecting ""the homeland"" and prosecuting a wildly unpopular war with Iraq. For James Bovard, as always, it all comes down to a trampling of personal liberty and an end to privacy as we know it. From airport security follies that protect no one to increased surveillance of individuals and skyrocketing numbers of detainees, the war on terrorism is taking a toll on individual liberty and no one tells the whole grisly story better than Bovard. ""The war on terrorism is the first political growth industry of the new Millennium.""  So begins Jim Bovard's newest and, in some ways, most provocative book as he casts yet another jaundiced eye on Washington and the motives behind protecting ""the homeland"" and prosecuting a wildly unpopular war with Iraq. For James Bovard, as always, it all comes down to a trampling of personal liberty and an end to privacy as we know it. From airport security follies that protect no one to increased surveillance of individuals and skyrocketing numbers of detainees, the war on terrorism is taking a toll on individual liberty and no one tells the whole grisly story better than Bovard."," Political Science , International Relations , General"
1446,Laying Down the Law: The 25 Laws of Parenting,"By Peters, Ruth","25 no-nonsense rules that teach your kids values and discipline from the inside out NBC Today show expert Dr. Ruth Peters shares her best and newest advice for helping families restore order and keep the peace with proven, painless methods that once and for all get your children to: * Understand and follow your family's values * Do their work when and how YOU want it done-- without whining* Follow your rules, even when their friends don't * Develop compassion and empathy Now, you'll know: * When snooping in their rooms is okay-- and how to do it * When making peace is the WORST thing you can do * The 5 questions you must ask your teenager every time he leaves the house * Why your kids should earn their privileges-- and how to get them to"," Family & Relationships , Parenting , General"
1447,Chaucer: A Bibliographical Introduction (Toronto Medieval Texts and Translations),"By Leyerle, John and Quick, Anne","More than 900 entries, carefully selected, organized, and annotated, and accompanied by informative background material, make this volume a unique and indispensable guide to Chaucer and related studies.The entries are divided into three categories. The first includes materials necessary for the study of Chaucer’s works: complete editions, facsimiles, studies of manuscripts, canon, and dating, works on the poet’s life, language, and learning, and his sources and influences. The second section covers Chaucer’s works. The third contains a selection of secondary works which provide information on the age and the culture in which Chaucer lived; music, the visual arts, economics and politics, rhetoric and poetics, and sciences among the subjects included.Most entries listed are in English, but a few essential studies in French and German are included. Items have been selected not only on the basis of quality but also for importance in the history of scholarship, variety of approach, and specific usefulness to students and beginners."," Literary Criticism , Medieval"
1448,Everything on a Waffle (Newbery Honor Book),"By Horvath, Polly","By the author of The Trolls, a National Book Award Finalist.My name is Primrose Squarp. I am eleven years old. I have hair the color of carrots in apricot glaze (recipe to follow), skin fair and clear where it isn't freckled, and eyes like summer storms.Readers will know right from the start that the narrator of Everything on a Waffle is going to tell her story straight and pull no punches. Primrose's parents have been lost at sea, but she believes without an iota of doubt that they are still alive, somewhere. She moves in with her Uncle Jack, but feels generally friendless. Her only real refuge is a local restaurant called The Girl on the Red Swing, where the owner, Miss Bowzer, serves everything on waffles -- except advice and good sense, which come free of charge and are always reliable.Food in general plays an important role in Primrose's journey toward peace and understanding (a recipe dictated in her unmistakable voice is appended to each chapter), and readers will eagerly cheer her on through this funny, bittersweet novel.Newbery Honor Book By the author of The Trolls, a National Book Award Finalist.My name is Primrose Squarp. I am eleven years old. I have hair the color of carrots in apricot glaze (recipe to follow), skin fair and clear where it isn't freckled, and eyes like summer storms.Readers will know right from the start that the narrator of Everything on a Waffle is going to tell her story straight and pull no punches. Primrose's parents have been lost at sea, but she believes without an iota of doubt that they are still alive, somewhere. She moves in with her Uncle Jack, but feels generally friendless. Her only real refuge is a local restaurant called The Girl on the Red Swing, where the owner, Miss Bowzer, serves everything on waffles -- except advice and good sense, which come free of charge and are always reliable.Food in general plays an important role in Primrose's journey toward peace and understanding (a recipe dictated in her unmistakable voice is appended to each chapter), and readers will eagerly cheer her on through this funny, bittersweet novel.Newbery Honor Book"," Juvenile Fiction , Social Themes , Emotions & Feelings"
1449,The Bubba Gump Shrimp Co. Cookbook: Recipes and Reflections from FORREST GUMP,"By Groom, Winston","Forrest Gump stepped out of the pages of Winston Groom’s novel, up onto the silver screen, and into the hearts of more than 30 million Americans. If you’re lucky, you count yourself among them. Now you can open to any page... and just like Forrest’s mama said about life... “You never know what you’re gonna get.” There are shrimp kabobs, shrimp creole, shrimp gumbo, shrimp cocktail... over 75 recipes all told, and every mouth-watering one of them heaven-sent. And speaking of heaven, Forrest wanted to remember his mama with these recipes, and his best friend, Bubba, too. And he didn’t want Li’l Forrest to grow up without knowing the Gump family shrimp secrets. These recipes are so downright delicious, you’ll know that “miracles do happen every day.” Forrest Gump has never been a man to complicate things... he’s a simple man, but one who “knows what love is.” Try some of the shrimp recipes in this book, and you’ll know what he means. Forrest’s mama loved the South, and its magazine, Southern Living®. “They just have a way with food,” she used to say. Try these shrimp fixings, all tested in the Southern Living kitchens, and you’ll say his mama was right every time. Even if the President of the United States knocks on your door, you’ll have the very thing to put on his plate. Tell him Forrest Gump said to say hello... and to remember his own mama."," Cooking , Specific Ingredients , Seafood"
1450,Better Homes and Gardens Step-By-Step Successful Gardening: Ornamental Grasses,"By Loewer, H. Peter","Shows how to design a landscape featuring ornamental grasses, describes the most popular varieties, and offers advice on planting, weeding, mulching, and grooming"," Gardening , General"
1451,The Fun Way to Serious Bridge,"By Lampert, Harry","The Fun Way To Serious Bridge is for anyone who wants to learn and understand the fundamentals of the mind-stimulating and challenging game of bridge -- and enjoy every minute of it! Harry Lampert combines his skills as a bridge player and teacher with his artistic talents to bring you a totally new FUN way to learn the game. The magic of his superb cartoons and simple, informative language will help you to absorb the principles of serious contract bridge -- and remember them. You'll laugh and learn every step of the way from opening bids to strip and end plays. Whether novice or seasoned social player, this unique book will make good bridge a simple ""trick."" You'll learn all about:  * Opening bids, suit bids, response and no trump bids, and how to force bids * Competition and the reasons and ways behind it * Big hand bidding such as Blackwood Convention, grand slam force and Gerber Convention * Patterns of play including how tricks are won, the finesse, establishing a long suit, when to pull and delay trumps and entries. * Defensive and advanced play -- plus much more!"," Games , General"
1452,Baby's First Bible,"By Maclean, Moira (ILT), Maclean, Colin, Maclean, Colin (ILT), and Maclean, Moira","A book with a handle and a clasp so it can be carried like a purse introduces the Bible stories of the creation, Noah's ark, Moses, David, and Daniel, and events from the life of Jesus"," Juvenile Nonfiction , Religion , Bible Stories , General"
1453,Chess For Beginners,"By Horowitz, I. A","In this book, I. A. Horowitz, Chess Editor of the New York Times and former U.S. Open Champion, applies some of the ideas and convictions acquired from thirty-five years of playing, teaching and analyzing the royal game. He emphasizes the tactical aspects of the game: how to recognize the big chance and hit hard when it occurs. He also stresses the ideas and methods in opening play, rather than the routine memorizing of variations that takes the joy out of chess for so many beginners.  When you have completed this book, you will be able to play chess with pleasure and some ability."," Games , Chess"
1454,What to Expect When the New Baby Comes Home (What to Expect Kids),"By Murkoff, Heidi Eisenberg and Rader, Laura (ILT)","Growing Up Just Got Easier...With the help of Angus, the lovable Answer Dog, best-selling author Heidi Murkoff extends a hand to children and parents as they tackle life's first experiences together.   Congratulations! The new baby you've spent the last nine months preparing for has finally arrived. Although you may be prepared and thrilled, what about your older child? As your preschooler makes the transition from only child to older sibling, he or she will be excited, curious, and somewhat anxious about the little bundle you've brought home. We're here to help you answer your child's questions about what new babies look like, what they do and don't do, and what having one around the house will really be like.Have fun!Heidi and Angus"," Juvenile Nonfiction , Family , New Baby"
1455,Oh Bother!: Pooh's Book About Trying New Things,"By Milne, A. A., Kurtz, John (ILT), and Marshall, Hallie","As magical and timeless as the Hundred-Acre Wood may be, it is also a place of exploration and discovery. For Pooh and his friends to learn and grow, they must try new things. And trying something new can be difficult, even a little scary. Trying new things is often hard for children - and for adults, too. But trying something new with Winnie the Pooh always makes theh worries and bothers seem less threatening."," Juvenile Fiction , Social Themes , New Experience"
1456,The Last Amateurs,"By Feinstein, John","Like millions who love college basketball, John Feinstein was first drawn to the game because of its intensity, speed and intelligence. Like many others, he felt that the vast sums of money involved in NCAA basketball had turned the sport into a division of the NBA, rather than the beloved amateur sport it once was. He went in search of college basketball played with the passion and integrity it once inspired, and found the Patriot League. As one of the NCAA's smallest leagues, none of these teams leaves college early to join the NBA and none of these coaches gets national recognition or endorsement contracts. The young men on these teams are playing for the love of the sport, of competition and of their schools. John Feinstein spent a season with these players, uncovering the drama of their daily lives and the passions that drive them to commit hundreds of hours to basketball even when there is no chance of a professional future. He offers a look at American sport at its purest."," Sports & Recreation , Basketball"
1457,Heart of the Home: Notes From a Vineyard Kitchen,"By Branch, Susan","With an emphasis on simple preparation and fresh foods, Susan Branch has created the perfect combination of illustration and prose and a celebration of food sure to become a classic of homespun delights. Susan Branch wrote the book completely written by hand and illustrated it with charming and beautiful color watercolors. Ribbon marker."," Cooking , Reference"
1458,Rama: A Legend,"By Highwater, Jamake, Valmiki, and Glancey, Kelli (ILT)","In a story based on the great Indian and Southeast Asian epic, the Ramayana, Prince Rama falls in love with Sita, a beautiful nature goddess, but when a jealous queen forces him from his throne, Rama, Sita, and his brother Laksmana must battle the evil King Ravana."," Young Adult Fiction , People & Places , United States , General"
1459,Peregrine,"By Bayer, William","Circling high over Rockefeller Center is a peregrine falcon, the most awesome of the flying predators. She awaits a signal from her falconer. It is given: the bird attacks, plummeting from the sky at nearly 200 miles an hour, striking a young woman and killing her instantly.So begins Peregrine, a chilling tale of obsession.By chance, newscaster Pamela Barrett witnesses the slaying. Her impassioned account of it on television that evening thrills the falconer, a brilliant madman who identifies with his deadly bird. He becomes fascinated with Pam and enmeshes her in a bizarre and deadly scheme even as she finds herself drawn to him by an erotic need she doesn't understand. As killing follows killing, the police and the media engage in cutthroat competition to find the murderer. Two falcons fight to the death above Central Park. Call girls, rich eccentrics, dealers in the black market for rare birds--all play their roles in this study of secret passion, desire, fulfillment, and ecstasy.At the publisher's request, this title is being sold without Digital Rights Management software (DRM) applied."," Fiction , General"
1460,Complete Book of Birdhouses and Feeders,"By Russo, Monica and Dewire, Robert","Line drawings supplement detailed descriptions of birds which will accept bird boxes, platforms, or trellises"," Technology & Engineering , General"
1461,Painting Rooms: How to Choose and and Use Paint Like an Expert,"By Ostrow, Judy","This hands-on guide explores the wide range of paint and special-effects products available today—and offers a step-by-step guide to choosing, mixing, and using them for a variety of home decorating purposes. Here is practical advice on everything from preparing surfaces to choosing colors and equipment; from understanding paint properties to mastering painting techniques."," House & Home , Decorating & Furnishings"
1462,Wars and Peace: The Memoir of an American Family,"By Quirk, Rory F.","Tells a very American story of an ordinary family in extraordinary times, through their wartime letters. Letters document James and Elizabeth Quirk's struggles during WWII as he spends four years in the Army in Europe, only to return and be sent to the Korean battlefront a few years later. James later became the first publisher of  TV Guide , but at a cost to their post-war dream of reunion. When their son Rory goes to Vietnam, the dream runs out, in a stunning and unexpected way. Rory Quirk is an attorney and a writer. Annotation c. Book News, Inc., Portland, OR (booknews.com)"," Biography & Autobiography , Military"
1463,Feasts: Menus for Home-Cooked Celebrations,"By Newman, Leslie","Offers recipes and advice on cooking for a crowd, featuring food that is simple to cook, good to eat, and stretches the budget"," Cooking , General"
1464,Complete Idiot's Guide to Fishing Basics (The Complete Idiot's Guide),"By Toth, Mike","You're no idiot, of course.  You manage complicated projects at work, tackle home renovation projects without fear, and even manage to help your kids put together award-winning science projects.  But when it comes to tossing a fishing line into the water, you're not sure whether you're more likely to land the catach of the day or be the catch of the day.  Don't hang up your waders yet!  The Complete Idiot's Guide to Fishing Basics helps you build the skills you need to become a savvy, more successful angler.  Feel confident about planning your next fishing trip, even if you'll be trying out new equipment or fishing for a new species.  In this Complete Idiot's Guide, you get:"," Crafts & Hobbies , General"
1465,Giving Good Weight,"By McPhee, John A.","""You people come into the market—the Greenmarket, in the open air under the down pouring sun—and you slit the tomatoes with your fingernails. With your thumbs, you excavate the cheese. You choose your stringbeans one at a time. You pulp the nectarines and rape the sweet corn. You are something wonderful, you are—people of the city—and we, who are almost without exception strangers here, are as absorbed with you as you seem to be with the numbers on our hanging scales."" So opens the title piece in this collection of John McPhee's classic essays, grouped here with four others, including ""Brigade de Cuisine,"" a profile of an artistic and extraordinary chef; ""The Keel of Lake Dickey,"" in which a journey down the whitewater of a wild river ends in the shadow of a huge projected dam; a report on plans for the construction of nuclear power plants that would float in the ocean; and a pinball shoot-out between two prizewinning journalists."," Literary Collections , Essays"
1466,Don't Mess with My Money: The Dolans' No-Nonsense Lifetime Money Plan,"By Dolan, Ken and Dolan, Daria","From radio's most trusted advisers, the kind of insider's advice that some experts don't want you to know about -- how to manage your money and build a firm financial foundation that will withstand the inevitable surprises life throws your way.With their long-running #1 rated personal finance radio show, Ken and Daria Dolan are America's ""First Family of Finance."" Armed with more than forty years of experience, they have helped tens of thousands of people plan for the future, survive difficult financial times, and cope with unexpected life challenges and emergencies. In Don't Mess with My Money, they draw on a lifetime of personal experience, as well as the tips and strategies from their legion of listeners, to write a candid, tell-it-like-it-is lifetime money guide. Why? Because the people they talk to every day need it.In the wake of 9/11, and in the aftermath of a yearlong recession and a seemingly endless series of admissions of corporate chicanery and deceit, people across America have begged for trustworthy help in righting their finances, and for someone to tell them what the real deal is. In Don't Mess with My Money, the Dolans pull back the veil of secrecy and reveal the loopholes, double-talk, and insider secrets that some Wall Street analysts and banks, insurance companies, car dealers, and financial advisers try to keep hidden. The Dolans explain how to avoid getting ripped off, how to get out of debt, how to organize your finances and safeguard your money from layoffs, illness, retirement, and death. They talk about: • How to prepare yourself for unemployment, divorce, and the death of a spouse • The three words you must utter the next time you buy a new car • How to invest without losing your shirt • The ins and outs of estate planning and retirement • What you must know about the biggest investment you'll ever make--your homeAs all of us are aware, life is uncertain. We need to prepare for the unexpected, from job layoffs and salary freezes to the death of a loved one. In this practical, no-nonsense guide, the Dolans provide the essential information you need to know to gain control over your financial lives and your future."," Business & Economics , Personal Finance , General"
1467,The Closers,"By Connelly, Michael","In Los Angeles in 1988, a sixteen-year-old girl disappeared from her home and was later found dead of a gunshot wound to the chest. The death appeared at first to be a suicide - but some of the evidence contradicted that scenario, and detectives came to believe this was in fact a murder. Despite a by-the-book investigation, no one was ever charged.Now Detective Harry Bosch is back with the LAPD with the sole mission of closing unsolved cases, and this girl's death is the first he's given. A DNA match makes the case very much alive again, and it turns out to be anything but cold. The ripples from this death have destroyed at least two other lives, and everywhere he probes, Bosch finds hot grief, hot rage, and a bottomless well of betrayal and malice.And it's not just the girl's family and friends whose lives Bosch is stirring up afresh. With each new development, Harry Bosch finds increasing resistance from within the police force itself. Old enemies are close at hand. Even as he pushes relentlessly to find the truth, Bosch has to wonder if this assignment was intended to be his last. Digging up the past may heal old wounds - or it may expose new, searing ones."," Fiction , Thrillers , Suspense"
1468,The Marrying Game: A Novel,"By Saunders, Kate","Like Louisa May Alcott's classic Little Women, The Marrying Game opens on Christmas Eve, with four sisters at home worrying about money.  The setting is present-day England, and the girls' father, an eccentric aristocrat, has just died, leaving the Hasty family so impoverished that they are about to lose their splendid but crumbling house. So the two oldest sisters--Rufa, tall, elegant, and too serious for her own good; and Nancy, a gorgeous, irreverent redhead who relishes her work as a part-time barmaid in the local pub--decide that the way to redeem the family fortunes is to marry money. Surely it can't be that hard to find two very rich men and make the men fall in love with them. Thus begins a gloriously modern story that makes us genuinely care about the whole Hasty family. As Rufa and Nancy set out to blaze a trail through London society, they find that nothing in The Marrying Game turns out quite the way they've planned. Like Louisa May Alcott's classic Little Women, The Marrying Game opens on Christmas Eve, with four sisters at home worrying about money.  The setting is present-day England, and the girls' father, an eccentric aristocrat, has just died, leaving the Hasty family so impoverished that they are about to lose their splendid but crumbling house. So the two oldest sisters--Rufa, tall, elegant, and too serious for her own good; and Nancy, a gorgeous, irreverent redhead who relishes her work as a part-time barmaid in the local pub--decide that the way to redeem the family fortunes is to marry money. Surely it can't be that hard to find two very rich men and make the men fall in love with them. Thus begins a gloriously modern story that makes us genuinely care about the whole Hasty family. As Rufa and Nancy set out to blaze a trail through London society, they find that nothing in The Marrying Game turns out quite the way they've planned."," Fiction , Romance , Contemporary"
1469,Aircraft (Rand Mcnally Factbooks),"By Maynard, Christopher and Paton, John",Presents the history of flying machines from the simple attempts at the end of the nineteenth century to the supersonic transport and military aircraft of today.," Juvenile Nonfiction , Technology , General"
1470,Mary Engelbreit'S Home Companion Book,"By Engelbreit, Mary","Presents a beautifully illustrated guide to home decorating inspired by Engelbreit's enchanting artwork and nostalgic themes, with detailed instructions on how to create a variety of projects--including room decor and accessories--for the home."," House & Home , Decorating"
1471,The History of the World Series: The Complete Chronology of America's Greatest Sports Tradition,"By Schoor, Gene","Uses photopraphs, statistics, and interviews to document all of the World Series games up to the earthquake series of 1989"," Sports & Recreation , General"
1472,Do You Know the Real You?: More Than 66 Ways to Understand Your Personality (Compass),"By Gordon, Claire","In Do You Know the Real You? psychology expert Claire Gordon offers revealing exercises and quizzes to help you pinpoint your strengths and use them more effectively in every area of your life. From your career and friendships to romantic relationships and beyond, this beautifully packaged, practical book of self-discovery assesses how your own unique traits affect how you interact in the world and explains how to overcome your weaknesses.Do You Know the Real You? includes revealing selftests to help readers discover and maximize their natural strengths answering such questions as:How well do you know yourself?Are you confrontational?Are you sensitive?In your day-to-day life, do you like to be the star attraction or do you prefer a more supporting role?Do you trust easily?Are you a realist or an idealist?"," Self-help , Personal Growth , Success"
1473,Bike Book,"By Hughes, Tim","A guide to biking discusses choosing a bicycle, clothing, and equipment, bike safety and maintenance, and bicycle sports"," Sports & Recreation , General"
1474,"Thomas Jefferson's Flower Garden at Monticello, 3rd ed","By Betts, Edwin Morris","The restoration of the flower gardens at Monticello in 1941, sponsored by the Garden Club of Virginia, was the result of Edwin Betts's scholarly research and Hazlehurst Perkins's practical gardening skills. Thomas Jefferson's Flower Garden at Monticello presents the evolution of Jefferson's ornamental gardening efforts with an analysis of the flower gardens as they were planned, planted, and ultimately restored.No early American gardens were as well-documented as those at Monticello, which became an experimental station, a botanic garden of new and unusual plants from around the world. Betts and Perkins communicate here the nature and sources of Jefferson's intelligent venture into ornamental gardening.The third edition includes a revised plant list, annotation of the more than 100 species cultivated in the flower garden, and new illustrations."," Architecture , Landscape"
1475,From Approximately Coast to Coast...It's the Bob and Ray Show,"By Elliott, Bob and Goulding, Ray","Scripts from Bob and Ray's television and radio programs poke fun at news shows, soap operas, and American society"," Performing Arts , General"
1476,Healthy Holidays: Total Health Entertaining All Year Round,"By Henner, Marilu and Henner, Lorin","Holidays can be healthy!Maintaining a healthy lifestyle is tough enough, but when special occasions roll around most people throw up their hands and dive into the Super Bowl snacks, Fourth of July hot dogs, Halloween treats, and New Year’s champagne -- knowing they'll regret it later. In Healthy Holidays, actress and healthy living expert Marilu Henner offers another choice. Here Marilu shows us how easy and fun it is to prepare healthy meals for family and friends for special occasions and holidays year-round.  As in her other bestselling health books, Marilu throws out the red meat, dairy, and refined sugar and fills the kitchen with the freshest fruits, vegetables, grains, soy, seafood, poultry, and ""legal"" sugars. But denying ourselves is not on the agenda: Start the year right with delicious New Year's Day recipes, such as Asian Grilled Salmon and Sautéed Asparagus with Shallots -- and pamper your guests with a spa party. Enjoy a romantic Valentine's Day with Honey-Baked Chicken, Warm Wild Mushroom Salad -- and Cupid's Chocolate Cake, made with healthy sugars to keep you in the mood.  For a delicious Fourth of July picnic, pack some of these treats: Sugar Snap Pea and Cucumber Salad, Curried Tuna Salad, and Blueberry Cobbler with a Cornmeal Crust. Prepare a mouthwatering feast for Thanksgiving that gives a healthy start for the holiday season -- including Roast Turkey, Henner Holiday Dressing, Pecan Sweet Potatoes, and Pilgrim Pumpkin Pie.Along with hundreds of healthy recipes Healthy Holidays offers dozens of creative twists on our favorite celebrations: For exercise on Saint Patrick's Day -- learn Irish step dancing! Act out a juicy scene with your partner for the Academy Awards. Throw a grab-bag Halloween party, and laugh as your husband ends up as Little Bo Peep. Explore the eight traditional themes of Hanukkah as an opportunity to incorporate healthy habits that could change your life. Learn the three habits that will keep your Christmas healthy -- and fill out the Henner Family Christmas Survey with your family!Healthy Holidays is your complete holiday planning resource for great celebrations the healthy way."," Cooking , Holiday"
1477,"Quick, Call Me a Taxi (My First Jokes and Riddles)","By Ziegler, Judy","Animals act out jokes and riddles such as ""What looks like half a grapefruit?  The other half"" and ""What do pigs write letters with?  Pig pens"""," Fiction , General"
